Feature,Importance
TRAF2_TCRb,0.27891322558778714
PKCt_FYN,0.2786452002446921
BIRC3_BIRC3,0.2768602920729613
TRAF2_PKCt,0.26995039224809947
VAV1_PKCt,0.26905265847784776
TRAF1_FYN,0.26481819773293813
PKCt_SLP76,0.2588088731775917
TRAF2_TRAF2,0.25786970695756534
PKCt_PKCt,0.252351918715931
TCRb_TCRb,0.24141765814680405
FYB_LAT,0.23336453778696842
LCK_GRAP2,0.23257863354326963
FYB_TRAF2,0.23193135219122166
BIRC3_TAK1,0.23070027831977855
SLP76_FYN,0.22672807784241705
LCK_CD3z,0.22213048363325882
TCRb_LAT,0.21866738914330014
ZAP70_FYN,0.2160910774645241
2A_LCK,0.21324537733121393
TRAF1_LAT,0.20853664675040387
SLP76_TAK1,0.20852161095460187
TRAF2_CD3z,0.20089536579802666
TRAF2_TRAF1,0.19983760508916543
2A_CD28,0.19585498305252816
FYB_TCRb,0.194250706712878
CD28_CD28,0.19287815527317648
TAK1_TAK1,0.19195329432498207
NCK_LAT,0.19094328985808626
TRAF1_BIRC3,0.19053411985937502
TCRb_LCK,0.1904686928996962
CD28_TAK1,0.18973652508725786
ZAP70_TAK1,0.18129734741787976
LCK_TRAF1,0.17225023877960094
PKCt_LCK,0.16903530494308905
LCK_PKCt,0.16769201204771886
FYB_ZAP70,0.16674655502828986
FYB_LCK,0.15151488417413442
NCK_FYN,0.15141878332293043
FYB_CD3z,0.14601242627095248
PKCt_CD28,0.1421468587665322
PKCt_GRAP2,0.14168064053367072
FYB_FYN,0.1413383751487433
PI3K_LAT,0.1387795422993492
2A_TCRb,0.13693624725796325
SLP76_CD3z,0.1353083184734199
BIRC3_TRAF2,0.13271297801283782
TRAF1_CD3z,0.1260790583836256
2A_TAK1,0.12547869215510127
SLP76_TRAF2,0.11724257406447433
2A_ZAP70,0.1067725651488749
VAV1_CD3z,0.10104320994469859
PKCt_TAK1,0.09647306115426166
TRAF1_TRAF2,0.09628623506952523
LCK_BIRC3,0.0956363435506227
TRAF2_TAK1,0.09398841914730607
NCK_LCK,0.08894562446314049
TRAF1_TRAF1,0.08849916848474067
TRAF1_TAK1,0.08631147446813531
VAV1_TRAF1,0.08367569023171062
NCK_CD28,0.08287576448557585
CD28_LAT,0.07794157695726234
VAV1_GRAP2,0.07701673442541236
NCK_TAK1,0.07434152877297635
TRAF1_GRAP2,0.07402033136523262
TRAF1_LCK,0.07187143953638106
LCK_LCK,0.06978368485828722
BIRC3_GRAP2,0.06753854035728879
2A_CD3z,0.06447420787429661
BIRC3_CD3z,0.06365891717220809
ZAP70_ZAP70,0.059831013932039254
BIRC3_TCRb,0.049538270514219156
LCK_TRAF2,0.03579126094064866
LAT_LAT,0.03037122395194458
PKCt_TRAF2,0.020774644512307056
TAK1_TRAF1,0.02056046957256586
TRAF2_SLP76,0.02042512292098267
PI3K_TCRb,0.015854208769536814
BIRC3_FYN,0.012942258307890982
BIRC3_TRAF1,0.0117519986035774
TCRb_FYN,0.007883328832537428
BIRC3_ZAP70,0.007235391038789434
SLP76_LCK,0.004243115193896377
FYB_GRAP2,0.0036733227423075736
SLP76_SLP76,0.0032351546917581383
CD28_LCK,0.0021552567717580584
2A_GRAP2,0.001470960842199606
LCK_TAK1,0.0005972398339476588
